index,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes
727353,2010-12-07,55920.0,"ARGLE AVE & NEELYS BEND RD, MADISON, TN, 37115",36.2560285,-86.7127556,7.0,1605.0,713.0,31.0,hispanic,male,0e1022b041,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,
1628243,2011-03-02,14340.0,"61ST AVE N & MORROW RD, NASHVILLE, TN, 37209",36.1632852,-86.862749,1.0,4639.0,115.0,25.0,white,female,db192e186d,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
618594,2014-12-02,57600.0,"GLENROSE AVE & I 24 W, NASHVILLE, TN, 37210",36.115927,-86.720801,3.0,88142.0,315.0,63.0,white,male,a9b7a026f0,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
619676,2014-01-22,74400.0,"10TH AVE N & JEFFERSON ST, NASHVILLE, TN, 37208",36.1724217,-86.7947991,6.0,4303.0,617.0,58.0,black,male,7f2ba40c1b,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
1864446,2011-04-21,49920.0,"JACKSONIAN DR & LEBANON PIKE, HERMITAGE, TN, 37076",36.1928646,-86.6238194,5.0,9613.0,521.0,22.0,white,male,4d037c592b,vehicular,seatbelt violation,False,True,False,citation,,,,False,False,False,False,,seatbelt violation,OH,
2427840,2014-06-05,7320.0,"333 MURFREESBORO PIKE, NASHVILLE, TN, 37210",36.1450579,-86.7535011,3.0,8133.0,311.0,37.0,white,male,3a572ed22e,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
532173,2016-01-21,60.0,"3838 OLD HICKORY BLVD, OLD HICKORY, TN, 37138",36.2379462,-86.6282441,5.0,9723.0,525.0,17.0,black,male,97117e47ab,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
2339709,2010-06-22,60840.0,"BABY RUTH LN & MOUNT VIEW RD, ANTIOCH, TN, 37013",36.0433612,-86.6408144,3.0,8863.0,333.0,41.0,black,female,d506cb99f0,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,
2479350,2015-07-01,32280.0,"ALBANY DR & ANDREW JACKSON PKWY, HERMITAGE, TN, 37076",36.2105091,-86.600107,5.0,9537.0,523.0,37.0,black,male,30ee2301cb,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
1059512,2017-11-01,70740.0,"BERKSHIRE DR & HAYDEN DR, NASHVILLE, TN, 37216",36.197203,-86.7149864,2.0,1409.0,217.0,41.0,black,female,fc443b8485,vehicular,registration,False,False,True,warning,,,,False,False,False,False,,registration,TN,
12347,2015-10-11,2340.0,"HERMITAGE AVE & KOREAN VETERANS BLVD, NASHVILLE, TN, 37201",36.1583691,-86.7719178,4.0,4049.0,425.0,21.0,white,male,e143bf684a,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,
1719366,2015-03-03,38040.0,"BRICK CHURCH PIKE & WEAKLEY AVE, NASHVILLE, TN, 37207",36.1981221,-86.7769329,6.0,3007.0,621.0,62.0,black,male,943bdf4ec4,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,RAN STOP SIGN
1999419,2013-04-09,46800.0,"NOLENSVILLE PIKE & OLD HICKORY BLVD, NASHVILLE, TN, 37211",36.045389,-86.7132511,8.0,8651.0,835.0,27.0,white,female,d7d987fc7e,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
2191870,2015-05-04,72420.0,"FRANKLIN PIKE & GLEN LEVEN DR, NASHVILLE, TN, 37204",36.1035758,-86.7725762,8.0,7017.0,825.0,54.0,black,female,6ba3cffa6c,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
3082012,2014-09-08,45420.0,"S TIMBER DR & TIMBERWAY DR, NASHVILLE, TN, 37214",36.1372212,-86.6401907,5.0,8991.0,533.0,21.0,white,male,9d41edf114,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,AZ,
988669,2017-07-17,49500.0,"E OLD HICKORY BLVD & RIO VISTA DR, MADISON, TN, 37115",36.2623571,-86.6810149,7.0,1705.0,715.0,54.0,black,male,7f79da4426,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
61860,2011-10-18,37380.0,"BELLEVUE RD & HWY 70 S, NASHVILLE, TN, 37221",36.0754803,-86.940384,1.0,4815.0,125.0,28.0,white,female,dfa33c336f,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
234654,2011-01-11,64320.0,"3901 GRANNY WHITE PIKE, NASHVILLE, TN, 37204",36.1050527,-86.7986592,8.0,7007.0,825.0,34.0,white,male,8e6e05f1aa,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
1888585,2010-04-23,69600.0,"800 MONROE ST, NASHVILLE, TN, 37208",36.1758564,-86.7942781,6.0,4325.0,617.0,24.0,black,female,7ede7c259c,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
1181200,2018-04-27,23520.0,"65  S & W TRINITY LN, NASHVILLE, TN, 37207",36.2070447,-86.7915951,6.0,3002.0,621.0,47.0,black,female,6761423fb7,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TX,
1102931,2018-01-13,66120.0,"1012 W TRINITY LN, NASHVILLE, TN, 37218",36.20551,-86.8123803,6.0,3101.0,623.0,32.0,black,male,a7a90aec7d,vehicular,registration,False,False,True,warning,,,,False,False,False,False,,registration,TN,
1933121,2016-04-28,34800.0,"1ST AVE N & CHURCH ST, NASHVILLE, TN, 37201",36.1649673,-86.7760918,4.0,4101.0,415.0,72.0,white,male,9d41edf114,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
2260475,2015-06-12,79860.0,"UPLAND DR & WELCOME LN, NASHVILLE, TN, 37216",36.1997723,-86.7114084,2.0,1409.0,217.0,42.0,black,male,b9f9980a8a,vehicular,vehicle equipment violation,False,False,True,warning,False,False,False,False,True,True,True,consent,vehicle equipment violation,TN,TAG LIGHT
49017,2012-10-16,81480.0,"9TH AVE N & BROADWAY, NASHVILLE, TN, 37203",36.1585903,-86.7827668,4.0,4115.0,421.0,43.0,white,male,8a240b02b9,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
1032891,2017-09-19,77340.0,"CLEVELAND ST & MERIDIAN ST, NASHVILLE, TN, 37207",36.1869623,-86.76803,2.0,1959.0,221.0,22.0,black,male,d3fe386ea8,vehicular,registration,False,False,True,warning,,,,False,False,False,False,,registration,TN,
1781542,2014-04-11,40500.0,"I 40 E & DONELSON PIKE, NASHVILLE, TN, 37214",36.1530404,-86.6265363,5.0,8906.0,533.0,30.0,unknown,female,286c82f645,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
1610485,2015-03-19,25860.0,"FAIRFIELD AVE & ROBERTSON ST, NASHVILLE, TN, 37210",36.1494464,-86.7572293,5.0,8223.0,511.0,41.0,black,male,85402489a1,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,SEATBELT
1249451,2018-08-24,34440.0,"DOUGLAS AVE & EMMETT AVE, NASHVILLE, TN, 37206",36.1930803,-86.7486956,2.0,1933.0,227.0,24.0,white,female,8ed20f511b,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,IL,
762842,2012-12-09,4920.0,"EZELL RD & HAYWOOD LN, NASHVILLE, TN, 37211",36.0696242,-86.693914,3.0,8707.0,321.0,36.0,black,female,6f347e0dbc,vehicular,moving traffic violation,False,False,True,warning,False,False,False,True,True,True,False,consent,moving traffic violation,TN,
1048909,2017-10-16,64800.0,"JAMES ROBERTSON PKWY & ROSA L PARKS BLVD, NASHVILLE, TN, 37219",36.1671364,-86.7870338,4.0,4203.0,411.0,47.0,black,male,c1e876ae44,vehicular,investigative stop,False,True,False,citation,,,,False,False,False,False,,investigative stop,TN,
492353,2015-01-19,28860.0,"BELL RD & CANE RIDGE RD, ANTIOCH, TN, 37013",36.0447085,-86.6615617,3.0,8721.0,325.0,19.0,hispanic,male,0f631f3a0e,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
1302238,2019-01-25,85440.0,"DELL PKWY & MURFREESBORO PIKE, NASHVILLE, TN, 37217",36.1077406,-86.6768847,3.0,8841.0,323.0,35.0,black,female,724faddb76,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
1573785,2011-03-15,29400.0,"11TH AVE N & ARTHUR AVE, NASHVILLE, TN, 37208",36.1796029,-86.804123,6.0,4453.0,613.0,33.0,black,female,8f1069f970,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,"STOP SIGN
"
2122992,2010-05-24,28320.0,"BRILEY PKWY & KAREN DR, NASHVILLE, TN, 37217",36.1395619,-86.7003202,5.0,8827.0,531.0,43.0,white,female,4bf759b804,vehicular,seatbelt violation,False,False,True,warning,,,,False,False,False,False,,seatbelt violation,TN,
494490,2016-11-09,32100.0,"1600 COCKRILL ST, NASHVILLE, TN, 37208",36.175197,-86.805512,6.0,4471.0,613.0,33.0,black,male,1163ce2341,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
278483,2015-11-16,11040.0,"BRILEY PKWY S & MURFREESBORO PIKE, NASHVILLE, TN, 37217",36.122074,-86.702419,3.0,8811.0,315.0,28.0,hispanic,male,e24c163b5d,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,
917669,2017-04-05,84480.0,"MAIN ST & MCFERRIN AVE, NASHVILLE, TN, 37206",36.1765865,-86.7555717,2.0,1131.0,213.0,24.0,white,female,e5723525d5,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,OH,
1074460,2017-11-28,28800.0,"816 MURFREESBORO PIKE, NASHVILLE, TN, 37217",36.1358357,-86.724395,5.0,8815.0,531.0,26.0,black,female,a9b7a026f0,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,
2414832,2016-06-03,78360.0,"DICKERSON PIKE & DOUGLAS AVE, NASHVILLE, TN, 37207",36.1944033,-86.7723358,2.0,1867.0,223.0,28.0,white,male,0a57dc4029,vehicular,vehicle equipment violation,True,False,True,arrest,,,,False,False,False,False,,vehicle equipment violation,TN,"HEADLIGHT OUT
ARRESTED - WARRANTS"
1388644,2012-02-19,59760.0,"8TH AVE S & WEDGEWOOD AVE, NASHVILLE, TN, 37203",36.1342346,-86.7790892,8.0,6905.0,821.0,24.0,white,male,88ef34d431,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,
1003693,2017-08-07,70140.0,"BUCHANAN ST & DR D B TODD JR BLVD, NASHVILLE, TN, 37208",36.1800641,-86.811026,6.0,4455.0,613.0,65.0,black,male,b3a6b271c1,vehicular,safety violation,False,False,True,warning,,,,False,False,False,False,,safety violation,TN,
1012131,2017-08-18,42960.0,"S 7TH ST & SHELBY AVE, NASHVILLE, TN, 37206",36.1692802,-86.7578646,2.0,1123.0,211.0,30.0,white,female,e7099bc91c,vehicular,vehicle equipment violation,False,True,False,citation,,,,False,False,False,False,,vehicle equipment violation,TN,
