,index,raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes,raw_verbal_warning_issued,raw_written_warning_issued,raw_traffic_citation_issued,raw_misd_state_citation_issued,raw_suspect_ethnicity,raw_driver_searched,raw_passenger_searched,raw_search_consent,raw_search_arrest,raw_search_warrant,raw_search_inventory,raw_search_plain_view
551,2793750,2225481,2015-08-25,22740.0,"3100 WOODLAWN DR, NASHVILLE, TN, 37215",36.1239415,-86.8227969,,,,45.0,white,female,b5ca91d71f,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,False,True,False,N,False,False,False,False,False,False,False
552,2747552,563877,2011-08-20,74280.0,"GALLATIN AVE & W EASTLAND AVE, NASHVILLE, TN, 37206",36.1833502,-86.7485645,2.0,1937.0,227.0,26.0,white,female,4076850409,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,,True,False,False,,N,False,False,False,False,False,False,False
553,1620776,798048,2012-03-21,9420.0,"NOLENSVILLE PIKE & THOMPSON LN, NASHVILLE, TN, 37210",36.1109273,-86.7451877,3.0,8315.0,313.0,21.0,black,male,3a4171e2e6,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,TINT,True,False,False,False,N,False,False,False,False,False,False,False
554,192850,1885328,2014-10-07,42480.0,"MURFREESBORO PIKE & WILHAGAN RD, NASHVILLE, TN, 37217",36.1324012,-86.719337,5.0,8815.0,531.0,64.0,white,male,8345be0d54,vehicular,seatbelt violation,False,False,True,warning,,,,False,False,False,False,,seatbelt violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
555,924163,2713845,2017-04-14,23040.0,"3441 DICKERSON PIKE, MADISON, TN, 37115",36.2409481,-86.7571874,7.0,2009.0,723.0,72.0,white,male,1b55d714e1,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,,False,False,N,False,False,False,False,False,False,False
556,2203767,1305191,2013-05-06,180.0,"MM 215 0 I40 W, NASHVILLE, TN, 37214",,,5.0,91021.0,513.0,35.0,white,male,4544025295,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
557,1259234,3049391,2018-09-12,32160.0,"338 E OLD HICKORY BLVD, MADISON, TN, 37115",36.2623795,-86.7058106,7.0,1607.0,713.0,37.0,white,female,cccd043657,vehicular,vehicle equipment violation,False,True,True,citation,,,,False,False,False,False,,vehicle equipment violation,,,True,,False,True,N,False,False,False,False,False,False,False
558,2730776,2537875,2016-08-17,80880.0,"3548 ANDERSON RD, NASHVILLE, TN, 37217",36.0851405,-86.6067601,5.0,8929.0,535.0,45.0,black,male,87bd93c328,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
559,1808284,2434954,2016-04-13,10260.0,"21ST AVE S & WEST END AVE, NASHVILLE, TN, 37203",36.1504569,-86.8011982,8.0,5715.0,815.0,26.0,white,female,6e9e930290,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,OH,,True,False,False,False,N,False,False,False,False,False,False,False
560,2421645,2145539,2015-06-04,6720.0,"S 6TH ST & SHELBY AVE, NASHVILLE, TN, 37206",36.168319,-86.760305,2.0,1043.0,211.0,28.0,white,male,d08894c335,vehicular,safety violation,False,False,True,warning,,,,False,False,False,False,,safety violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
561,1679278,1675060,2014-03-27,40500.0,"DICKERSON PIKE & HANCOCK ST, NASHVILLE, TN, 37207",36.1844104,-86.7737184,2.0,1951.0,221.0,29.0,black,female,95b3c63410,vehicular,safety violation,False,False,True,warning,,,,False,False,False,False,,safety violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
562,1032493,2822322,2017-09-19,42360.0,"HARDING PL & 65  S, NASHVILLE, TN, 37220",36.0801062,-86.76495,8.0,7101.0,833.0,21.0,white,female,498350de5b,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,,True,False,N,False,False,False,False,False,False,False
563,1108744,2898711,2018-01-22,32760.0,"ELM HILL PIKE & PATRIOT WAY, NASHVILLE, TN, 37214",36.1480444,-86.6638974,5.0,9423.0,517.0,29.0,white,female,963f2c3d0d,vehicular,seatbelt violation,False,False,True,warning,,,,False,False,False,False,,seatbelt violation,,,True,,False,False,N,False,False,False,False,False,False,False
564,106281,2278549,2015-10-23,63060.0,"CLEVELAND ST & MERIDIAN ST, NASHVILLE, TN, 37207",36.1869623,-86.76803,2.0,1949.0,221.0,18.0,black,male,7aca53bb89,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,SPEEDING PACED -- IN --,True,False,False,False,N,False,False,False,False,False,False,False
565,682353,2311300,2015-12-03,77460.0,"ELYSIAN FIELDS RD & SIDCO DR, , TN, 37204",36.0848934,-86.7617792,8.0,8531.0,825.0,32.0,white,male,8cbadbb4fa,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
